"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"3974","2.990460","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3976","2.990999","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3978","2.991538","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3980","2.992294","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3982","2.993764","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3984","2.994520","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3986","2.995068","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3988","2.995643","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3990","2.996775","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3992","2.997541","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3994","2.998297","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3996","2.998854","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3998","3.000288","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4000","3.000827","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4002","3.001420","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4004","3.001977","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4006","3.002733","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4008","3.003335","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4010","3.004118","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4012","3.004666","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4014","3.005423","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4016","3.006170","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4018","3.006614","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4020","3.007037","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4022","3.008287","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4024","3.009034","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4026","3.009523","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4028","3.010077","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4030","3.011366","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4032","3.011923","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4034","3.013073","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4036","3.013595","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4038","3.014404","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4040","3.015232","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4042","3.015798","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4044","3.016337","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4046","3.016799","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4048","3.017534","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4050","3.018109","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4052","3.018562","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4054","3.019099","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4056","3.019855","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
